record_name;target_label;original_abstract;year;url;processed_title;processed_abstract
LiveGantt: Interactively Visualizing a Large Manufacturing Schedule;['simplification'];In this paper, we introduce LiveGantt as a novel interactive schedule visualization tool that helps users explore highly-concurrent large schedules from various perspectives. Although a Gantt chart is the most common approach to illustrate schedules, currently available Gantt chart visualization tools suffer from limited scalability and lack of interactions. LiveGantt is built with newly designed algorithms and interactions to improve conventional charts with better scalability, explorability, and reschedulability. It employs resource reordering and task aggregation to display the schedules in a scalable way. LiveGantt provides four coordinated views and filtering techniques to help users explore and interact with the schedules in more flexible ways. In addition, LiveGantt is equipped with an efficient rescheduler to allow users to instantaneously modify their schedules based on their scheduling experience in the fields. To assess the usefulness of the application of LiveGantt, we conducted a case study on manufacturing schedule data with four industrial engineering researchers. Participants not only grasped an overview of a schedule but also explored the schedule from multiple perspectives to make enhancements.;2014;http://dx.doi.org/10.1109/TVCG.2014.2346454;livegantt interactively large manufacturing schedule;livegantt interactive schedule tool helps users explore highlyconcurrent large schedules various perspectives although gantt chart illustrate schedules currently available gantt chart tools suffer limited scalability lack interactions livegantt built designed algorithms interactions improve conventional charts scalability explorability reschedulability employs resource reordering task aggregation display schedules scalable way livegantt provides four coordinated views filtering techniques help users explore interact schedules flexible ways addition livegantt equipped efficient rescheduler allow users instantaneously modify schedules based scheduling experience fields assess usefulness application livegantt conducted case manufacturing schedule four industrial engineering researchers participants grasped overview schedule explored schedule multiple perspectives make enhancements
Decomposition and Simplification of Multivariate Data using Pareto Sets;['simplification'];"Topological and structural analysis of multivariate data is aimed at improving the understanding and usage of such data through identification of intrinsic features and structural relationships among multiple variables. We present two novel methods for simplifying so-called Pareto sets that describe such structural relationships. Such simplification is a precondition for meaningful visualization of structurally rich or noisy data. As a framework for simplification operations, we introduce a decomposition of the data domain into regions of equivalent structural behavior and the reachability graph that describes global connectivity of Pareto extrema. Simplification is then performed as a sequence of edge collapses in this graph; to determine a suitable sequence of such operations, we describe and utilize a comparison measure that reflects the changes to the data that each operation represents. We demonstrate and evaluate our methods on synthetic and real-world examples.";2014;http://dx.doi.org/10.1109/TVCG.2014.2346447;decomposition simplification multivariate pareto sets;topological structural analysis multivariate aimed improving understanding usage identification intrinsic features structural relationships among multiple variables two methods simplifying socalled pareto sets structural relationships simplification precondition meaningful structurally rich noisy framework simplification operations decomposition domain regions equivalent structural behavior reachability graph describes global connectivity pareto extrema simplification performed sequence edge collapses graph determine suitable sequence operations utilize comparison measure reflects changes operation represents demonstrate evaluate methods synthetic realworld examples
Temporal Event Sequence Simplification;['simplification'];Electronic Health Records (EHRs) have emerged as a cost-effective data source for conducting medical research. The difficulty in using EHRs for research purposes, however, is that both patient selection and record analysis must be conducted across very large, and typically very noisy datasets. Our previous work introduced EventFlow, a visualization tool that transforms an entire dataset of temporal event records into an aggregated display, allowing researchers to analyze population-level patterns and trends. As datasets become larger and more varied, however, it becomes increasingly difficult to provide a succinct, summarizing display. This paper presents a series of user-driven data simplifications that allow researchers to pare event records down to their core elements. Furthermore, we present a novel metric for measuring visual complexity, and a language for codifying disjoint strategies into an overarching simplification framework. These simplifications were used by real-world researchers to gain new and valuable insights from initially overwhelming datasets.;2013;http://dx.doi.org/10.1109/TVCG.2013.200;temporal event sequence simplification;electronic health records ehrs emerged costeffective source conducting medical research difficulty ehrs research purposes however patient selection record analysis must conducted across large typically noisy datasets introduced eventflow tool transforms entire dataset temporal event records aggregated display allowing researchers analyze populationlevel patterns trends datasets become larger varied however increasingly difficult provide succinct summarizing display presents series userdriven simplifications allow researchers pare event records core elements furthermore metric measuring complexity language codifying disjoint strategies overarching simplification framework simplifications realworld researchers gain valuable insights initially overwhelming datasets
Efficient Computation of Morse-Smale Complexes for Three-dimensional Scalar Functions;['multi-resolution', 'simplification', 'feature detection'];The Morse-Smale complex is an efficient representation of the gradient behavior of a scalar function, and critical points paired by the complex identify topological features and their importance. We present an algorithm that constructs the Morse-Smale complex in a series of sweeps through the data, identifying various components of the complex in a consistent manner. All components of the complex, both geometric and topological, are computed, providing a complete decomposition of the domain. Efficiency is maintained by representing the geometry of the complex in terms of point sets.;2007;http://dx.doi.org/10.1109/TVCG.2007.70552;efficient computation morsesmale complexes threedimensional scalar functions;morsesmale complex efficient representation gradient behavior scalar function critical points paired complex identify topological features importance algorithm constructs morsesmale complex series sweeps identifying various components complex consistent manner components complex geometric topological computed providing complete decomposition domain efficiency maintained representing geometry complex terms point sets
Topology-based simplification for feature extraction from 3D scalar fields;['multi-resolution', 'simplification', 'feature detection'];In this paper, we present a topological approach for simplifying continuous functions defined on volumetric domains. We introduce two atomic operations that remove pairs of critical points of the function and design a combinatorial algorithm that simplifies the Morse-Smale complex by repeated application of these operations. The Morse-Smale complex is a topological data structure that provides a compact representation of gradient flow between critical points of a function. Critical points paired by the Morse-Smale complex identify topological features and their importance. The simplification procedure leaves important critical points untouched, and is therefore useful for extracting desirable features. We also present a visualization of the simplified topology.;2005;http://dx.doi.org/10.1109/VISUAL.2005.1532839;topologybased simplification feature extraction scalar fields;topological simplifying continuous functions defined volumetric domains two atomic operations remove pairs critical points function design combinatorial algorithm simplifies morsesmale complex repeated application operations morsesmale complex topological structure provides compact representation gradient flow critical points function critical points paired morsesmale complex identify topological features importance simplification procedure leaves important critical points untouched therefore useful extracting desirable features simplified topology
Centroidal Voronoi tessellation based algorithms for vector fields visualization and segmentation;['flowvisualization', 'simplification'];A new method for the simplification and the visualization of vector fields is presented based on the notion of centroidal Voronoi tessellations (CVT's). A CVT is a special Voronoi tessellation for which the generators of the Voronoi regions in the tessellation are also the centers of mass (or means) with respect to a prescribed density. A distance function in both the spatial and vector spaces is introduced to measure the similarity of the spatially distributed vector fields. Based on such a distance, vector fields are naturally clustered and their simplified representations are obtained. Our method combines simple geometric intuitions with the rigorously established optimality properties of the CVTs. It is simple to describe, easy to understand and implement. Numerical examples are also provided to illustrate the effectiveness and competitiveness of the CVT-based vector simplification and visualization methodology.;2004;http://dx.doi.org/10.1109/VISUAL.2004.13;centroidal voronoi tessellation based algorithms vector fields segmentation;method simplification vector fields presented based notion centroidal voronoi tessellations cvts cvt special voronoi tessellation generators voronoi regions tessellation centers mass means respect prescribed density distance function spatial vector spaces introduced measure similarity spatially distributed vector fields based distance vector fields naturally clustered simplified representations obtained method combines simple geometric intuitions rigorously established optimality properties cvts simple easy implement numerical examples illustrate effectiveness competitiveness cvtbased vector simplification methodology
Appearance-preserving view-dependent visualization;['level-of-detail', 'mesh simplification', 'multi-resolution model'];In this paper a new quadric-based view- dependent simplification scheme is presented. The scheme provides a method to connect mesh simplification controlled by a quadric error metric with a level- of-detail hierarchy that is accessed continuously and efficiently based on current view parameters. A variety of methods for determining the screen-space metric for the view calculation are implemented and evaluated, including an appearance-preserving method that has both geometry- and texture-preserving aspects. Results are presented and compared for a variety of models.;2003;http://dx.doi.org/10.1109/VISUAL.2003.1250409;appearancepreserving viewdependent;quadricbased view dependent simplification scheme presented scheme provides method connect mesh simplification controlled quadric error metric level ofdetail hierarchy accessed continuously efficiently based current view parameters variety methods determining screenspace metric view calculation implemented evaluated including appearancepreserving method geometry texturepreserving aspects results presented compared variety models
Visibility based methods and assessment for detail-recovery;['simplification'];"In this paper we propose a new method for the creation of normal maps for recovering the detail on simplified meshes and a set of objective techniques to metrically evaluate the quality of different recovering techniques. The proposed techniques, that automatically produces a normal-map texture for a simple 3D model that \""imitates\"" the high frequency detail originally present in a second, much higher resolution one, is based on the computation of per-texel visibility and self-occlusion information. This information is used to define a point-to-point correspondence between simplified and hires meshes. Moreover, we introduce a number of criteria for measuring the quality (visual or otherwise) of a given mapping method, and provide efficient algorithms to implement them. Lastly, we apply them to rate different mapping methods, including the widely used ones and the new one proposed here.";2003;http://dx.doi.org/10.1109/VISUAL.2003.1250407;visibility based methods assessment detailrecovery;propose method creation normal maps recovering detail simplified meshes set objective techniques metrically evaluate quality different recovering techniques proposed techniques automatically produces normalmap texture simple model imitates high frequency detail originally second higher resolution one based computation pertexel visibility selfocclusion information information define pointtopoint correspondence simplified hires meshes moreover number criteria measuring quality otherwise mapping method provide efficient algorithms implement lastly rate different mapping methods including widely ones one proposed
A multi-resolution data structure for two-dimensional Morse-Smale functions;['simplification'];We combine topological and geometric methods to construct a multi-resolution data structure for functions over two-dimensional domains. Starting with the Morse- Smale complex, we construct a topological hierarchy by progressively canceling critical points in pairs. Concurrently, we create a geometric hierarchy by adapting the geometry to the changes in topology. The data structure supports mesh traversal operations similarly to traditional multi-resolution representations.;2003;http://dx.doi.org/10.1109/VISUAL.2003.1250365;multiresolution structure twodimensional morsesmale functions;combine topological geometric methods construct multiresolution structure functions twodimensional domains starting morse smale complex construct topological hierarchy progressively canceling critical points pairs concurrently create geometric hierarchy adapting geometry changes topology structure supports mesh traversal operations similarly traditional multiresolution representations
Immersive volume visualization of seismic simulations: A case study of techniques invented and lessons learned;['level-of-detail', 'multi-resolution', 'mesh simplification'];"This paper is a documentation of techniques invented, results obtained and lessons learned while creating visualization algorithms to render outputs of large-scale seismic simulations. The objective is the development of techniques for a collaborative simulation and visualization shared between structural engineers, seismologists, and computer scientists. The computer graphics research community has been witnessing a large number of exemplary publications addressing the challenges faced while trying to visualize both large-scale surface and volumetric datasets lately. From a visualization perspective, issues like data preprocessing (simplification, sampling, filtering, etc.); rendering algorithms (surface and volume), and interaction paradigms (large-scale, highly interactive, highly immersive, etc.) have been areas of study. In this light, we outline and describe the milestones achieved in a large-scale simulation and visualization project, which opened the scope for combining existing techniques with new methods, especially in those cases where no existing methods were suitable. We elucidate the data simplification and reorganization schemes that we used, and discuss the problems we encountered and the solutions we found. We describe both desktop (high-end local as well as remote) interfaces and immersive visualization systems that we developed to employ interactive surface and volume rendering algorithms. Finally, we describe the results obtained, challenges that still need to be addressed, and ongoing efforts to meet the challenges of large-scale visualization.";2002;http://dx.doi.org/10.1109/VISUAL.2002.1183814;immersive volume seismic simulations case techniques invented lessons learned;documentation techniques invented results obtained lessons learned creating algorithms render outputs largescale seismic simulations objective development techniques collaborative simulation shared structural engineers seismologists computer scientists computer graphics research community witnessing large number exemplary publications addressing challenges faced trying visualize largescale surface volumetric datasets lately perspective issues like preprocessing simplification sampling filtering etc rendering algorithms surface volume interaction paradigms largescale highly interactive highly immersive etc light outline milestones achieved largescale simulation project opened scope combining techniques methods especially cases methods suitable elucidate simplification reorganization schemes discuss problems encountered solutions found desktop highend local well remote interfaces immersive systems employ interactive surface volume rendering algorithms finally results obtained challenges still need addressed ongoing efforts meet challenges largescale
