happiness_rank,happiness_score,economy,family,health,freedom,generosity,corruption,dystopia_residual,cellular_subscriptions,surplus_deficit_gdp,inflation_rate,population,target_label,record_name
1,7.5370001793,1.6164631844,1.5335235596,0.796666503,0.6354225874,0.3620122373,0.3159638345,2.2770266533,108,4.2,1.9,5320045,4,Norway
2,7.521999836,1.4823830128,1.5511215925,0.7925655246,0.6260067225,0.35528048869999995,0.4007700682,2.3137073516999997,124,-0.6,1.1,5605948,4,Denmark
3,7.504000186900001,1.4806330204,1.6105740069999999,0.8335521221,0.6271626353,0.4755402207,0.1535265595,2.3227152824,121,0.9,1.8,339747,4,Iceland
4,7.493999958,1.5649795532,1.5169117450999998,0.8581312895000001,0.6200705767,0.2905492783,0.3670072854,2.2767162323,137,0.2,0.5,8236303,4,Switzerland
5,7.4689998627,1.4435719252,1.5402467250999998,0.8091576695,0.6179508567,0.2454827726,0.3826115429,2.4301815033,132,-2.0,0.8,5518371,4,Finland
6,7.376999855,1.5039446354,1.4289392233000002,0.810696125,0.5853844881,0.4704898298,0.2826618254,2.2948040962,120,0.3,1.3,17084719,4,Netherlands
7,7.3159999847,1.4792044163,1.4813489913999998,0.8345576525,0.6111009121000001,0.4355397224,0.2873715162,2.1872644424,88,-2.0,1.6,35623680,4,Canada
8,7.3140001297,1.405706048,1.5481951237,0.8167597055,0.6140621305,0.500005126,0.3828167021,2.046456337,142,0.7,1.9,4510327,4,New Zealand
9,7.2839999199,1.494387269,1.4781621694999998,0.8308751583,0.612924099,0.3853992522,0.3843987286,2.0975379944,125,0.9,1.9,9960487,4,Sweden
10,7.2839999199,1.4844149351,1.5100419521000001,0.8438867927,0.6016073823,0.47769925,0.3011837304,2.0652108192,119,-1.7,2.0,23232413,4,Australia
11,7.2129998207,1.3753824234,1.3762899637000001,0.8384039998,0.4059886038,0.330082655,0.0852421001,2.8017573357,127,-2.7,0.2,8299706,4,Israel
