country,happiness_rank,happiness_score,economy,family,health,freedom,generosity,corruption,dystopia_residual,internet_access_population[%],cellular_subscriptions[%],surplus_deficit_gdp[%],familiy_income_gini_coeff,gdp_per_capita[$],inflation_rate[%],military_expenditures[%_of_gdp],map_reference,biggest_official_language,population
Norway,1,7.5370001793,1.6164631844,1.5335235596,0.796666503,0.6354225874,0.3620122373,0.3159638345,2.2770266533,97.3,108,4.2,26.8,,1.9,1.62,Europe,Bokmal Norwegian,5320045
Denmark,2,7.521999836,1.4823830128,1.5511215925,0.7925655246,0.6260067225,0.3552804887,0.4007700682,2.3137073517,97,124,-0.6,29,,1.1,1.15,Europe,Danish,5605948
Iceland,3,7.5040001869,1.4806330204,1.610574007,0.8335521221,0.6271626353,0.4755402207,0.1535265595,2.3227152824,98.2,121,0.9,28,,1.8,0.1,Arctic Region,Icelandic,339747
Switzerland,4,7.493999958,1.5649795532,1.5169117451,0.8581312895,0.6200705767,0.2905492783,0.3670072854,2.2767162323,89.4,137,0.2,29.5,,0.5,0.71,Europe,German,8236303
Finland,5,7.4689998627,1.4435719252,1.5402467251,0.8091576695,0.6179508567,0.2454827726,0.3826115429,2.4301815033,87.7,132,-2,27.2,,0.8,1.23,Europe,Finnish,5518371
Netherlands,6,7.376999855,1.5039446354,1.4289392233,0.810696125,0.5853844881,0.4704898298,0.2826618254,2.2948040962,90.4,120,0.3,30.3,,1.3,1.17,Europe,Dutch,17084719
Canada,7,7.3159999847,1.4792044163,1.4813489914,0.8345576525,0.6111009121,0.4355397224,0.2873715162,2.1872644424,89.8,88,-2,32.1,,1.6,0.99,North America,English,35623680
New Zealand,8,7.3140001297,1.405706048,1.5481951237,0.8167597055,0.6140621305,0.500005126,0.3828167021,2.046456337,88.5,142,0.7,36.2,,1.9,1.1,Oceania,English,4510327
Sweden,9,7.2839999199,1.494387269,1.4781621695,0.8308751583,0.612924099,0.3853992522,0.3843987286,2.0975379944,91.5,125,0.9,24.9,,1.9,1.1,Europe,Swedish,9960487
Australia,10,7.2839999199,1.4844149351,1.5100419521,0.8438867927,0.6016073823,0.47769925,0.3011837304,2.0652108192,88.2,119,-1.7,30.3,,2,2,Oceania,English,23232413
